type,latency,latency_ms
10,0.000,0 
81,15.048,1.504821e+04 
81,24.998,2.499814e+04 
81,39.841,3.984071e+04 
81,50.618,5.061785e+04 
81,57.826,5.782555e+04 
23,0.403,4.027420e+02 
33,1.433,1.433424e+03 
53,3.497,3.496791e+03 
93,63.704,6.370400e+04 
81,90.584,9.058353e+04 
81,106.712,1.067124e+05 
81,125.216,1.252158e+05 
21,69.949,6.994945e+04 
31,70.970,7.096957e+04 
51,73.034,7.303411e+04 
91,133.206,1.332062e+05 
81,195.117,1.951174e+05 
22,141.104,1.411039e+05 
32,142.139,1.421391e+05 
52,144.204,1.442044e+05 
92,204.393,2.043931e+05 
81,224.085,2.240853e+05 
81,234.017,2.340171e+05 
81,248.858,2.488576e+05 
81,259.654,2.596538e+05 
81,266.854,2.668537e+05 
22,209.450,2.094500e+05 
32,210.475,2.104752e+05 
52,212.540,2.125401e+05 
92,272.729,2.727289e+05 
81,291.655,2.916549e+05 
81,301.588,3.015881e+05 
81,316.439,3.164389e+05 
81,327.237,3.272374e+05 
81,334.445,3.344451e+05 
21,277.018,2.770184e+05 
31,278.045,2.780452e+05 
51,280.111,2.801111e+05 
91,340.316,3.403158e+05 
81,359.324,3.593243e+05 
81,369.257,3.692570e+05 
81,384.097,3.840974e+05 
81,394.892,3.948922e+05 
81,402.092,4.020924e+05 
22,344.681,3.446806e+05 
32,345.714,3.457136e+05 
52,347.779,3.477787e+05 
92,407.951,4.079509e+05 
81,421.110,4.211098e+05 
81,432.844,4.328439e+05 
81,441.661,4.416609e+05 
81,449.610,4.496103e+05 
81,461.011,4.610114e+05 
81,469.906,4.699058e+05 
23,411.644,4.116437e+05 
33,412.667,4.126672e+05 
53,414.729,4.147291e+05 
93,474.920,4.749202e+05 
24,479.989,4.799891e+05 
34,481.019,4.810191e+05 
54,483.086,4.830862e+05 
94,543.257,5.432571e+05 
81,566.799,5.667994e+05 
81,578.597,5.785972e+05 
81,594.600,5.946004e+05 
22,548.823,5.488233e+05 
32,549.855,5.498552e+05 
52,551.917,5.519171e+05 
92,612.092,6.120922e+05 
21,617.766,6.177656e+05 
31,618.791,6.187914e+05 
51,620.858,6.208578e+05 
91,681.045,6.810449e+05 
81,701.922,7.019216e+05 
81,711.851,7.118507e+05 
81,726.686,7.266862e+05 
81,737.489,7.374893e+05 
81,744.689,7.446895e+05 
21,687.290,6.872896e+05 
31,688.311,6.883109e+05 
51,690.377,6.903771e+05 
91,750.548,7.505480e+05 
81,768.457,7.684571e+05 
81,789.362,7.893621e+05 
81,790.032,7.900319e+05 
81,811.253,8.112528e+05 
24,754.215,7.542153e+05 
34,755.247,7.552469e+05 
54,757.314,7.573140e+05 
94,817.485,8.174854e+05 
81,839.877,8.398769e+05 
81,851.682,8.516820e+05 
81,867.670,8.676699e+05 
21,821.899,8.218991e+05 
31,822.933,8.229330e+05 
51,824.995,8.249952e+05 
91,885.203,8.852029e+05 
81,943.415,9.434146e+05 
22,889.409,8.894088e+05 
32,890.436,8.904357e+05 
52,892.503,8.925027e+05 
92,952.706,9.527065e+05 
81,979.199,9.791989e+05 
81,995.330,9.953297e+05 
81,1013.834,1.013834e+06 
21,958.567,9.585668e+05 
31,959.588,9.595885e+05 
51,961.651,9.616513e+05 
91,1021.843,1.021843e+06 
81,1040.502,1.040502e+06 
81,1050.435,1.050435e+06 
81,1065.268,1.065268e+06 
81,1076.070,1.076070e+06 
81,1083.270,1.083270e+06 
22,1025.858,1.025858e+06 
32,1026.891,1.026891e+06 
52,1028.955,1.028955e+06 
92,1089.145,1.089145e+06 
100,1091.919,1.091919e+06 
