type,latency,latency_ms
10,0.000,0 
81,15.011,1.501117e+04 
80,15.113,1.511264e+04 
81,24.942,2.494159e+04 
80,25.179,2.517892e+04 
81,39.779,3.977947e+04 
80,39.894,3.989444e+04 
81,50.579,5.057858e+04 
80,50.612,5.061193e+04 
81,57.796,5.779646e+04 
80,57.865,5.786491e+04 
80,62.629,6.262944e+04 
22,0.380,3.795220e+02 
32,1.400,1.400386e+03 
52,3.463,3.463350e+03 
92,63.637,6.363749e+04 
81,85.167,8.516706e+04 
80,91.967,9.196665e+04 
81,106.067,1.060667e+05 
81,106.733,1.067334e+05 
80,116.717,1.167171e+05 
80,125.246,1.252459e+05 
81,127.967,1.279666e+05 
25,70.922,7.092202e+04 
35,71.954,7.195369e+04 
55,74.020,7.402046e+04 
95,134.207,1.342072e+05 
80,160.438,1.604379e+05 
80,176.685,1.766853e+05 
80,195.370,1.953700e+05 
25,139.886,1.398864e+05 
35,140.907,1.409067e+05 
55,142.972,1.429720e+05 
95,203.144,2.031436e+05 
81,219.403,2.194029e+05 
80,219.780,2.197803e+05 
81,232.835,2.328354e+05 
81,237.169,2.371691e+05 
81,255.638,2.556379e+05 
81,256.104,2.561045e+05 
26,209.558,2.095581e+05 
36,210.593,2.105930e+05 
56,212.656,2.126561e+05 
96,272.831,2.728306e+05 
81,293.139,2.931394e+05 
80,299.790,2.997896e+05 
81,314.048,3.140480e+05 
81,314.710,3.147096e+05 
80,315.624,3.156239e+05 
80,334.325,3.343245e+05 
81,335.958,3.359580e+05 
26,278.894,2.788938e+05 
36,279.930,2.799298e+05 
56,281.993,2.819935e+05 
96,342.166,3.421658e+05 
80,371.043,3.710427e+05 
81,374.294,3.742937e+05 
80,380.977,3.809774e+05 
81,386.099,3.860992e+05 
80,395.733,3.957328e+05 
81,402.094,4.020940e+05 
80,406.561,4.065610e+05 
80,413.750,4.137499e+05 
80,418.566,4.185660e+05 
24,356.327,3.563266e+05 
34,357.349,3.573492e+05 
54,359.412,3.594122e+05 
94,419.587,4.195874e+05 
80,451.600,4.515996e+05 
80,476.472,4.764725e+05 
81,484.654,4.846540e+05 
80,485.072,4.850719e+05 
21,430.634,4.306340e+05 
31,431.669,4.316688e+05 
51,433.731,4.337305e+05 
91,493.906,4.939063e+05 
80,518.516,5.185164e+05 
80,530.516,5.305162e+05 
80,540.736,5.407358e+05 
80,543.300,5.433002e+05 
80,546.267,5.462669e+05 
81,554.601,5.546009e+05 
22,500.600,5.005996e+05 
32,501.622,5.016218e+05 
52,503.682,5.036822e+05 
92,563.842,5.638424e+05 
80,582.835,5.828349e+05 
81,583.326,5.833265e+05 
81,593.252,5.932523e+05 
80,603.836,6.038360e+05 
81,608.084,6.080843e+05 
80,615.620,6.156198e+05 
81,618.887,6.188867e+05 
80,623.767,6.237667e+05 
80,625.807,6.258069e+05 
81,626.087,6.260871e+05 
24,568.678,5.686780e+05 
34,569.708,5.697080e+05 
54,571.771,5.717706e+05 
94,631.946,6.319456e+05 
81,639.746,6.397463e+05 
80,654.597,6.545972e+05 
81,655.838,6.558381e+05 
81,656.672,6.566719e+05 
80,666.489,6.664887e+05 
80,676.788,6.767877e+05 
80,679.359,6.793595e+05 
80,682.356,6.823558e+05 
23,636.600,6.366002e+05 
33,637.628,6.376275e+05 
53,639.690,6.396896e+05 
93,699.864,6.998644e+05 
80,727.541,7.275413e+05 
81,730.175,7.301746e+05 
80,739.444,7.394440e+05 
81,746.310,7.463099e+05 
80,749.764,7.497635e+05 
80,752.342,7.523421e+05 
80,755.342,7.553424e+05 
81,764.809,7.648091e+05 
23,709.543,7.095432e+05 
33,710.564,7.105639e+05 
53,712.628,7.126275e+05 
93,772.801,7.728008e+05 
80,792.494,7.924938e+05 
25,782.194,7.821937e+05 
35,783.217,7.832170e+05 
55,785.281,7.852807e+05 
95,845.488,8.454879e+05 
81,861.114,8.611135e+05 
80,869.595,8.695949e+05 
81,872.846,8.728457e+05 
80,881.481,8.814812e+05 
81,881.650,8.816498e+05 
81,889.616,8.896160e+05 
80,891.833,8.918333e+05 
80,894.382,8.943815e+05 
80,897.382,8.973815e+05 
81,901.015,9.010155e+05 
81,909.920,9.099196e+05 
22,851.648,8.516475e+05 
32,852.670,8.526699e+05 
52,854.734,8.547340e+05 
92,914.908,9.149077e+05 
81,924.375,9.243746e+05 
80,931.383,9.313827e+05 
81,940.467,9.404669e+05 
81,941.300,9.413003e+05 
80,944.587,9.445866e+05 
80,948.917,9.489171e+05 
80,967.619,9.676190e+05 
80,983.496,9.834955e+05 
26,921.235,9.212354e+05 
36,922.256,9.222561e+05 
56,924.318,9.243177e+05 
96,984.493,9.844934e+05 
80,1010.627,1.010627e+06 
80,1035.471,1.035471e+06 
81,1043.638,1.043638e+06 
80,1043.892,1.043892e+06 
24,989.628,9.896283e+05 
34,990.659,9.906591e+05 
54,992.717,9.927167e+05 
94,1052.897,1.052897e+06 
80,1067.522,1.067522e+06 
81,1075.689,1.075689e+06 
80,1078.743,1.078743e+06 
81,1087.488,1.087488e+06 
80,1087.794,1.087794e+06 
80,1095.708,1.095708e+06 
81,1103.490,1.103490e+06 
80,1107.078,1.107078e+06 
80,1116.159,1.116159e+06 
21,1057.724,1.057724e+06 
31,1058.745,1.058745e+06 
51,1060.812,1.060812e+06 
91,1120.982,1.120982e+06 
