type,latency,latency_ms
10,0.000,0 
81,14.594,1.459437e+04 
81,35.498,3.549814e+04 
81,36.169,3.616853e+04 
81,57.395,5.739545e+04 
24,0.361,3.605380e+02 
34,1.384,1.384248e+03 
54,3.449,3.449355e+03 
94,63.621,6.362081e+04 
85,76.373,7.637321e+04 
81,99.399,9.939945e+04 
81,115.536,1.155362e+05 
81,134.034,1.340336e+05 
25,78.759,7.875882e+04 
35,79.787,7.978703e+04 
55,81.851,8.185071e+04 
95,142.041,1.420410e+05 
85,157.158,1.571582e+05 
81,213.537,2.135372e+05 
22,159.531,1.595305e+05 
32,160.557,1.605573e+05 
52,162.618,1.626177e+05 
92,222.794,2.227943e+05 
86,225.414,2.254141e+05 
81,242.070,2.420704e+05 
81,262.971,2.629714e+05 
81,263.636,2.636363e+05 
81,284.872,2.848721e+05 
21,227.827,2.278271e+05 
31,228.860,2.288602e+05 
51,230.923,2.309228e+05 
91,291.114,2.911144e+05 
85,293.254,2.932544e+05 
81,349.691,3.496915e+05 
22,295.676,2.956755e+05 
32,296.697,2.966969e+05 
52,298.764,2.987640e+05 
92,358.954,3.589543e+05 
86,360.711,3.607111e+05 
81,417.095,4.170946e+05 
22,363.080,3.630798e+05 
32,364.116,3.641156e+05 
52,366.175,3.661746e+05 
92,426.353,4.263532e+05 
86,428.854,4.288542e+05 
81,451.896,4.518956e+05 
81,468.030,4.680301e+05 
81,486.531,4.865313e+05 
26,431.253,4.312533e+05 
36,432.285,4.322852e+05 
56,434.349,4.343488e+05 
96,494.522,4.945225e+05 
85,496.888,4.968883e+05 
81,519.916,5.199155e+05 
81,536.052,5.360523e+05 
81,554.551,5.545508e+05 
25,499.278,4.992782e+05 
35,500.305,5.003048e+05 
55,502.366,5.023663e+05 
95,562.542,5.625421e+05 
85,564.167,5.641666e+05 
81,587.214,5.872142e+05 
81,603.357,6.033568e+05 
81,621.858,6.218575e+05 
21,566.579,5.665786e+05 
31,567.608,5.676076e+05 
51,569.671,5.696708e+05 
91,629.845,6.298451e+05 
86,631.527,6.315269e+05 
21,633.917,6.339166e+05 
31,634.944,6.349439e+05 
51,637.009,6.370094e+05 
91,697.181,6.971813e+05 
85,698.631,6.986314e+05 
81,710.507,7.105068e+05 
81,722.241,7.222409e+05 
81,731.045,7.310447e+05 
81,739.008,7.390076e+05 
81,750.409,7.504089e+05 
81,759.309,7.593090e+05 
24,701.030,7.010295e+05 
34,702.063,7.020635e+05 
54,704.124,7.041240e+05 
94,764.301,7.643008e+05 
85,767.223,7.672232e+05 
81,779.093,7.790932e+05 
81,790.827,7.908271e+05 
81,799.632,7.996319e+05 
81,807.595,8.075946e+05 
81,818.995,8.189951e+05 
81,827.895,8.278949e+05 
25,769.624,7.696238e+05 
35,770.650,7.706497e+05 
55,772.713,7.727131e+05 
95,832.887,8.328870e+05 
86,835.495,8.354954e+05 
81,852.163,8.521628e+05 
81,873.067,8.730666e+05 
81,873.747,8.737471e+05 
81,894.965,8.949651e+05 
23,837.930,8.379296e+05 
33,838.953,8.389526e+05 
53,841.009,8.410090e+05 
93,901.190,9.011901e+05 
85,903.111,9.031114e+05 
81,914.966,9.149658e+05 
81,926.699,9.266993e+05 
81,935.503,9.355026e+05 
81,943.469,9.434693e+05 
81,954.867,9.548674e+05 
81,963.763,9.637633e+05 
23,905.495,9.054954e+05 
33,906.522,9.065220e+05 
53,908.575,9.085749e+05 
93,968.775,9.687748e+05 
85,971.144,9.711436e+05 
26,973.518,9.735183e+05 
36,974.542,9.745415e+05 
56,976.603,9.766027e+05 
96,1036.779,1.036779e+06 
86,1038.040,1.038040e+06 
81,1058.388,1.058388e+06 
81,1070.187,1.070187e+06 
81,1086.190,1.086190e+06 
23,1040.415,1.040415e+06 
33,1041.444,1.041444e+06 
53,1043.506,1.043506e+06 
93,1103.682,1.103682e+06 
85,1105.240,1.105240e+06 
24,1107.635,1.107635e+06 
34,1108.664,1.108664e+06 
54,1110.724,1.110724e+06 
94,1170.901,1.170901e+06 
86,1173.353,1.173353e+06 
26,1175.757,1.175757e+06 
36,1176.783,1.176783e+06 
56,1178.846,1.178846e+06 
96,1239.021,1.239021e+06 
85,1240.264,1.240264e+06 
100,1241.265,1.241265e+06 
