type,latency,latency_ms
10,0.000,0 
81,9.846,9.845814e+03 
80,18.226,1.822569e+04 
81,21.578,2.157843e+04 
80,30.386,3.038577e+04 
81,30.392,3.039179e+04 
81,38.344,3.834399e+04 
80,40.662,4.066235e+04 
80,43.046,4.304569e+04 
80,46.199,4.619912e+04 
81,49.745,4.974532e+04 
81,58.645,5.864547e+04 
24,0.366,3.656770e+02 
34,1.400,1.400372e+03 
54,3.470,3.469540e+03 
94,63.637,6.363712e+04 
81,123.242,1.232418e+05 
22,69.223,6.922302e+04 
32,70.254,7.025370e+04 
52,72.257,7.225690e+04 
92,132.423,1.324229e+05 
81,149.698,1.496985e+05 
80,149.919,1.499186e+05 
81,163.119,1.631189e+05 
80,163.287,1.632874e+05 
81,167.467,1.674667e+05 
80,167.569,1.675694e+05 
81,185.917,1.859173e+05 
80,186.151,1.861509e+05 
81,186.384,1.863842e+05 
80,202.135,2.021349e+05 
26,139.849,1.398489e+05 
36,140.873,1.408725e+05 
56,142.946,1.429459e+05 
96,203.109,2.031094e+05 
22,210.814,2.108138e+05 
32,211.842,2.118422e+05 
52,213.844,2.138443e+05 
92,273.996,2.739955e+05 
81,289.580,2.895796e+05 
81,301.331,3.013312e+05 
81,310.132,3.101316e+05 
81,318.081,3.180808e+05 
81,329.481,3.294813e+05 
81,338.382,3.383816e+05 
21,280.114,2.801135e+05 
31,281.145,2.811453e+05 
51,283.147,2.831475e+05 
91,343.314,3.433139e+05 
81,369.633,3.696328e+05 
81,379.567,3.795666e+05 
81,394.417,3.944173e+05 
81,405.218,4.052177e+05 
81,412.418,4.124180e+05 
21,355.008,3.550078e+05 
31,356.031,3.560312e+05 
51,358.032,3.580316e+05 
91,418.184,4.181841e+05 
81,430.769,4.307687e+05 
81,446.869,4.468694e+05 
81,447.703,4.477028e+05 
22,427.632,4.276316e+05 
32,428.667,4.286674e+05 
52,430.668,4.306678e+05 
92,490.820,4.908199e+05 
80,515.666,5.156656e+05 
80,536.071,5.360709e+05 
80,547.966,5.479663e+05 
80,555.948,5.559479e+05 
80,557.812,5.578121e+05 
25,500.900,5.008997e+05 
35,501.920,5.019204e+05 
55,503.990,5.039900e+05 
95,564.158,5.641576e+05 
80,592.585,5.925849e+05 
80,608.270,6.082702e+05 
80,627.170,6.271704e+05 
25,571.787,5.717870e+05 
35,572.807,5.728065e+05 
55,574.874,5.748742e+05 
95,635.044,6.350437e+05 
80,652.223,6.522227e+05 
81,663.355,6.633552e+05 
80,663.805,6.638047e+05 
80,672.738,6.727378e+05 
81,679.484,6.794836e+05 
80,680.856,6.808561e+05 
80,692.098,6.920978e+05 
81,697.968,6.979682e+05 
80,701.269,7.012689e+05 
26,642.697,6.426967e+05 
36,643.726,6.437262e+05 
56,645.790,6.457903e+05 
96,705.963,7.059632e+05 
81,727.614,7.276140e+05 
81,748.517,7.485166e+05 
81,749.200,7.491998e+05 
81,770.416,7.704158e+05 
21,713.390,7.133895e+05 
31,714.412,7.144124e+05 
51,716.413,7.164127e+05 
91,776.566,7.765660e+05 
80,806.067,8.060675e+05 
80,830.703,8.307029e+05 
80,839.264,8.392638e+05 
23,784.930,7.849296e+05 
33,785.965,7.859653e+05 
53,788.040,7.880403e+05 
93,848.202,8.482022e+05 
80,866.600,8.665995e+05 
81,874.346,8.743458e+05 
81,886.141,8.861410e+05 
81,902.148,9.021476e+05 
24,856.382,8.563821e+05 
34,857.402,8.574016e+05 
54,859.465,8.594652e+05 
94,919.639,9.196394e+05 
81,942.332,9.423318e+05 
81,963.229,9.632289e+05 
81,963.916,9.639161e+05 
80,973.934,9.739339e+05 
80,982.283,9.822834e+05 
81,985.134,9.851337e+05 
23,928.087,9.280871e+05 
33,929.121,9.291213e+05 
53,931.185,9.311853e+05 
93,991.375,9.913754e+05 
80,1013.866,1.013866e+06 
81,1014.185,1.014185e+06 
81,1024.124,1.024124e+06 
80,1034.703,1.034703e+06 
81,1038.951,1.038951e+06 
80,1046.587,1.046587e+06 
81,1049.753,1.049753e+06 
80,1054.676,1.054676e+06 
80,1056.508,1.056508e+06 
81,1056.970,1.056970e+06 
25,999.544,9.995435e+05 
35,1000.575,1.000575e+06 
55,1002.639,1.002639e+06 
95,1062.829,1.062829e+06 
80,1090.705,1.090705e+06 
81,1093.472,1.093472e+06 
80,1102.756,1.102756e+06 
81,1109.601,1.109601e+06 
80,1113.089,1.113089e+06 
80,1115.511,1.115511e+06 
80,1118.559,1.118559e+06 
81,1128.107,1.128107e+06 
26,1072.831,1.072831e+06 
36,1073.861,1.073861e+06 
56,1075.927,1.075927e+06 
96,1136.098,1.136098e+06 
80,1159.108,1.159108e+06 
81,1170.042,1.170042e+06 
80,1170.508,1.170508e+06 
80,1179.475,1.179475e+06 
81,1186.181,1.186181e+06 
80,1187.526,1.187526e+06 
80,1198.893,1.198893e+06 
81,1204.668,1.204668e+06 
80,1207.913,1.207913e+06 
23,1149.401,1.149401e+06 
33,1150.432,1.150432e+06 
53,1152.496,1.152496e+06 
93,1212.669,1.212669e+06 
80,1241.728,1.241728e+06 
81,1241.813,1.241813e+06 
80,1257.946,1.257946e+06 
81,1257.949,1.257949e+06 
81,1276.444,1.276444e+06 
80,1276.712,1.276712e+06 
24,1221.173,1.221173e+06 
34,1222.201,1.222201e+06 
54,1224.266,1.224266e+06 
94,1284.438,1.284438e+06 
100,1292.743,1.292743e+06 
