type,latency,latency_ms
10,0.000,0 
24,0.419,4.192160e+02 
34,1.448,1.448368e+03 
54,3.514,3.514030e+03 
94,13.700,1.369973e+04 
23,17.140,1.713951e+04 
33,18.166,1.816572e+04 
53,20.227,2.022653e+04 
93,30.416,3.041617e+04 
21,33.581,3.358051e+04 
31,34.616,3.461633e+04 
51,36.617,3.661739e+04 
91,46.785,4.678546e+04 
25,50.717,5.071658e+04 
35,51.751,5.175118e+04 
55,53.824,5.382361e+04 
95,63.985,6.398538e+04 
81,77.545,7.754503e+04 
26,68.078,6.807822e+04 
36,69.101,6.910111e+04 
56,71.165,7.116510e+04 
96,81.353,8.135324e+04 
80,92.687,9.268727e+04 
22,83.934,8.393389e+04 
32,84.968,8.496836e+04 
52,86.971,8.697121e+04 
92,97.138,9.713793e+04 
100,98.689,9.868948e+04 
